SPort, DPort, SPkts, DPkts, SBytes, DBytes, Protocol, SYN, ACK, FIN, PSH, RST, URG, SYN+ACK, Duration, IsAlive, Service, UniqueDests, UniqueSrcs, UniqueDestSocks, UniqueSrcSocks,target
53,52459,1,0,124,0,17,0,0,0,0,0,0,0,0.930859566,1,0,1,9,9,1,1
36970,80,2,0,128,0,6,1,1,0,0,0,0,2,0.925788164,1,0,9,1,1,5,1
80,36970,1,0,60,0,6,1,1,0,0,0,0,1,0.890792608,1,0,1,9,5,1,1
35095,53,1,0,77,0,17,0,0,0,0,0,0,0,0.151505232,1,0,9,1,1,10,1
443,49718,2,0,138,0,6,0,2,0,1,0,0,2,13.67344403,1,0,1,9,1,1,1
49718,443,2,0,136,0,6,0,2,0,1,0,0,2,13.67317843,1,0,9,1,1,1,1
33934,443,2,0,173,0,6,0,2,0,1,0,0,2,7.764936209,1,0,9,1,1,1,1
443,33934,2,0,236,0,6,0,2,0,1,0,0,2,7.763870001,1,0,1,9,1,1,1
54621,53,1,0,95,0,17,0,0,0,0,0,0,0,5.722290277,1,0,9,1,1,10,1
53,54621,1,0,111,0,17,0,0,0,0,0,0,0,5.604521751,1,0,1,9,9,1,1
49046,443,10,0,2035,0,6,1,9,0,7,0,0,10,5.604043007,1,0,9,1,1,1,1
443,49046,11,0,1696,0,6,1,11,0,3,0,0,11,5.573314428,1,0,1,9,1,1,1
39618,53,2,0,150,0,17,0,0,0,0,0,0,0,4.975320578,1,0,9,1,1,10,1
53,39618,2,0,586,0,17,0,0,0,0,0,0,0,4.550052404,1,0,1,9,9,1,1
38130,443,120,0,35050,0,17,0,0,0,0,0,0,0,4.52253294,1,0,9,1,1,4,1
40170,443,11,0,1406,0,6,1,10,1,4,0,0,11,4.52224946,1,0,9,1,1,4,1
40182,443,12,0,1460,0,6,1,11,1,4,0,0,12,4.522003651,1,0,9,1,1,4,1
40188,443,9,0,1288,0,6,1,8,0,4,0,0,9,4.521667957,1,0,9,1,1,4,1
443,40170,11,0,8051,0,6,1,11,1,3,0,0,11,4.475425959,1,0,1,9,4,1,1
443,40182,11,0,8052,0,6,1,11,1,3,0,0,11,4.458320379,1,0,1,9,4,1,1
443,40188,8,0,7877,0,6,1,8,0,3,0,0,8,4.457708359,1,0,1,9,4,1,1
443,38130,584,0,748899,0,17,0,0,0,0,0,0,0,4.445970058,1,0,1,9,4,1,1
44529,53,1,0,73,0,17,0,0,0,0,0,0,0,4.219214201,1,0,9,1,1,10,1
53,44529,1,0,124,0,17,0,0,0,0,0,0,0,4.197800159,1,0,1,9,9,1,1
36940,80,8,0,1708,0,6,1,7,0,3,0,0,8,4.194127321,1,0,9,1,1,5,1
48061,53,1,0,73,0,17,0,0,0,0,0,0,0,4.185538769,1,0,9,1,1,10,1
80,36940,7,0,2507,0,6,1,7,0,3,0,0,7,4.049539089,1,0,1,9,5,1,1
53,48061,1,0,124,0,17,0,0,0,0,0,0,0,4.037207603,1,0,1,9,9,1,1
36948,80,8,0,1708,0,6,1,7,0,3,0,0,8,4.036556721,1,0,9,1,1,5,1
36956,80,8,0,1709,0,6,1,7,0,3,0,0,8,4.036202192,1,0,9,1,1,5,1
80,36956,7,0,2508,0,6,1,7,0,3,0,0,7,3.96208334,1,0,1,9,5,1,1
80,36948,7,0,2507,0,6,1,7,0,3,0,0,7,3.961272717,1,0,1,9,5,1,1
34074,53,2,0,142,0,17,0,0,0,0,0,0,0,3.548969269,1,0,9,1,1,10,1
38395,53,2,0,160,0,17,0,0,0,0,0,0,0,3.546016455,1,0,9,1,1,10,1
57352,53,2,0,192,0,17,0,0,0,0,0,0,0,3.538024187,1,0,9,1,1,10,1
53,57352,2,0,302,0,17,0,0,0,0,0,0,0,3.402585506,1,0,1,9,9,1,1
53,38395,2,0,204,0,17,0,0,0,0,0,0,0,3.402106762,1,0,1,9,9,1,1
53,34074,2,0,510,0,17,0,0,0,0,0,0,0,3.399361134,1,0,1,9,9,1,1
37483,443,9,0,2530,0,17,0,0,0,0,0,0,0,3.396699667,1,0,9,1,1,3,1
56149,443,8,0,2444,0,17,0,0,0,0,0,0,0,3.396234989,1,0,9,1,1,3,1
39063,443,12,0,2651,0,17,0,0,0,0,0,0,0,3.394814968,1,0,9,1,1,2,1
52768,443,9,0,1288,0,6,1,8,0,4,0,0,9,3.394593716,1,0,9,1,1,3,1
52772,443,11,0,1406,0,6,1,10,1,4,0,0,11,3.394365311,1,0,9,1,1,3,1
48648,443,10,0,1342,0,6,1,9,0,4,0,0,10,3.394168377,1,0,9,1,1,2,1
53440,443,6,0,925,0,6,1,5,0,2,0,0,6,3.393975496,1,0,9,1,1,3,1
443,56149,16,0,7170,0,17,0,0,0,0,0,0,0,3.393706322,1,0,1,9,3,1,1
53452,443,7,0,979,0,6,1,6,0,2,0,0,7,3.388476133,1,0,9,1,1,3,1
443,48648,9,0,5842,0,6,1,9,0,4,0,0,9,3.301903725,1,0,1,9,2,1,1
443,39063,22,0,24297,0,17,0,0,0,0,0,0,0,3.300969124,1,0,1,9,2,1,1
443,37483,12,0,7923,0,17,0,0,0,0,0,0,0,3.299822569,1,0,1,9,3,1,1
443,52772,10,0,5977,0,6,1,10,1,2,0,0,10,3.299154282,1,0,1,9,3,1,1
443,52768,8,0,5857,0,6,1,8,0,2,0,0,8,3.297860622,1,0,1,9,3,1,1
443,53452,6,0,5433,0,6,1,6,0,3,0,0,6,3.294382811,1,0,1,9,3,1,1
443,53440,5,0,5379,0,6,1,5,0,2,0,0,5,3.293745518,1,0,1,9,3,1,1
60921,53,1,0,73,0,17,0,0,0,0,0,0,0,3.095632792,1,0,9,1,1,10,1
53,60921,1,0,124,0,17,0,0,0,0,0,0,0,3.056047201,1,0,1,9,9,1,1
36958,80,4,0,655,0,6,1,3,0,1,0,0,4,3.043092012,1,0,9,1,1,5,1
52459,53,1,0,73,0,17,0,0,0,0,0,0,0,3.028828859,1,0,9,1,1,10,1
80,36958,3,0,876,0,6,1,3,0,1,0,0,3,2.977926731,1,0,1,9,5,1,1
53,52459,1,0,124,0,17,0,0,0,0,0,0,0,2.975039244,1,0,1,9,9,1,1
36970,80,2,0,128,0,6,1,1,0,0,0,0,2,2.969967842,1,0,9,1,1,5,1
80,36970,1,0,60,0,6,1,1,0,0,0,0,1,2.934972286,1,0,1,9,5,1,1
35095,53,1,0,77,0,17,0,0,0,0,0,0,0,2.19568491,1,0,9,1,1,10,1
53,35095,1,0,105,0,17,0,0,0,0,0,0,0,2.009062052,1,0,1,9,10,1,1
43138,443,8,0,2067,0,17,0,0,0,0,0,0,0,2.000931025,1,0,10,1,1,1,1
37873,53,2,0,192,0,17,0,0,0,0,0,0,0,1.984261036,1,0,10,1,1,11,1
443,43138,9,0,7095,0,17,0,0,0,0,0,0,0,1.886019945,1,0,1,10,1,1,1
60658,443,3,0,246,0,6,1,2,0,1,0,0,3,1.69472146,1,0,11,1,1,1,1
60672,443,6,0,925,0,6,1,5,0,2,0,0,6,1.6942451,1,0,11,1,1,2,1
443,48286,206,0,277576,0,17,0,0,0,0,0,0,0,1.632237673,1,0,1,11,1,1,1
48286,443,44,0,6945,0,17,0,0,0,0,0,0,0,1.631816864,1,0,11,1,1,3,1
443,60672,4,0,5313,0,6,0,4,0,3,0,0,4,1.626971245,1,0,1,11,2,1,1
443,60658,3,0,5259,0,6,0,3,0,1,0,0,3,1.611006737,1,0,1,11,3,1,1
59338,53,2,0,148,0,17,0,0,0,0,0,0,0,0.507696629,1,0,11,1,1,12,1
53,59338,2,0,192,0,17,0,0,0,0,0,0,0,0.473780155,1,0,1,11,11,1,1
46180,443,9,0,6330,0,17,0,0,0,0,0,0,0,0.438003302,1,0,12,1,1,1,1
36158,443,3,0,699,0,6,1,2,0,1,0,0,3,0.437732458,1,0,12,1,1,2,1
36162,443,3,0,699,0,6,1,2,0,1,0,0,3,0.382056236,1,0,12,1,1,3,1
443,36158,3,0,3094,0,6,1,3,0,0,0,0,3,0.151553392,1,0,1,12,1,1,1
443,46180,7,0,8737,0,17,0,0,0,0,0,0,0,0.150253057,1,0,1,12,2,1,1
443,36162,2,0,120,0,6,1,2,0,0,0,0,2,0.149783373,1,0,1,12,3,1,1
443,49718,2,0,138,0,6,0,2,0,1,0,0,2,15.72246146,1,0,1,12,1,1,1
49718,443,2,0,136,0,6,0,2,0,1,0,0,2,15.72219586,1,0,12,1,1,1,1
33934,443,2,0,173,0,6,0,2,0,1,0,0,2,9.813953638,1,0,12,1,1,1,1
443,33934,2,0,236,0,6,0,2,0,1,0,0,2,9.81288743,1,0,1,12,1,1,1
54621,53,1,0,95,0,17,0,0,0,0,0,0,0,7.771307707,1,0,12,1,1,12,1
53,54621,1,0,111,0,17,0,0,0,0,0,0,0,7.653539181,1,0,1,12,11,1,1
49046,443,13,0,2448,0,6,1,12,0,10,0,0,13,7.653060436,1,0,12,1,1,1,1
443,49046,15,0,2081,0,6,1,15,0,4,0,0,15,7.622331858,1,0,1,12,1,1,1
